r_mpc,xi_theory
5.0,0.8276651609404623
8.305084745762713,0.41245141217197073
11.610169491525424,0.21854999412022863
14.915254237288135,0.15223526250490488
18.220338983050848,0.08945037109262095
21.52542372881356,0.07244224856619243
24.83050847457627,0.04373809309098585
28.135593220338983,0.03914458490588009
31.440677966101696,0.023687015820926957
34.74576271186441,0.02277238405121158
38.05084745762712,0.013759692826782306
41.355932203389834,0.01384441605582092
44.66101694915254,0.008433533068552292
47.96610169491525,0.008621118654092347
51.271186440677965,0.005404802136694653
54.57627118644068,0.005409479648727977
57.88135593220339,0.003596219049754512
61.186440677966104,0.0033655623200448117
64.49152542372882,0.002458505309964922
67.79661016949153,0.002029124213200483
71.10169491525424,0.0016916034004029773
74.40677966101696,0.0011273760649127965
77.71186440677967,0.0011357754710490543
81.01694915254238,0.0005279064328537123
84.32203389830508,0.0008024634500096896
87.62711864406779,0.00036758107886415155
90.9322033898305,0.0010261510271123986
94.23728813559322,0.0009115983147850537
97.54237288135593,0.0016416592757997298
100.84745762711864,0.0012830022707373363
104.15254237288136,0.0015281699125694816
107.45762711864407,0.0008302517422962316
110.76271186440678,0.0008705265051653414
114.0677966101695,0.000216113408363498
117.37288135593221,0.0003314232409101682
120.67796610169492,-0.00017118428759289344
123.98305084745763,3.873006290352128e-05
127.28813559322035,-0.00034893684751428525
130.59322033898306,-0.00010504989070893809
133.89830508474577,-0.0003866354166192547
137.20338983050848,-0.0002115253066489924
140.5084745762712,-0.00029401677726140305
143.8135593220339,-0.00038997757813906555
147.11864406779662,-2.3761424821918293e-05
150.42372881355934,-0.0007388733074956714
153.72881355932205,0.0004603662365330503
157.03389830508476,-0.001256308544209841
160.33898305084747,0.001019690300590926
163.64406779661016,-0.0016422479975666843
166.94915254237287,0.0011531426951931975
170.25423728813558,-0.0012746039910006147
173.5593220338983,0.00030187367411354187
176.864406779661,3.723813634379628e-05
180.16949152542372,-0.0010410831613428294
183.47457627118644,0.0009714201163644029
186.77966101694915,-0.0009996237563008883
190.08474576271186,-0.00010084790972302856
193.38983050847457,0.0007173045876352534
196.6949152542373,-0.0014505053926002376
200.0,0.0008528400106906719
