r_mpc,xi,xi_err,DD,DR,RR
8.362068965517242,1.0235719892411772,0.0032801304343888574,380588.0,564333.0,1668788.0
15.086206896551726,0.4034161055630608,0.0015882130746396148,780828.0,1660575.0,4921182.0
21.810344827586206,0.18663666664061182,0.0010397898410527326,1302400.0,3275081.0,9748050.0
28.53448275862069,0.10094390799358287,0.0007814349181589626,1984928.0,5380009.0,16033948.0
35.258620689655174,0.051546905449450106,0.0006277078759970026,2806352.0,7969829.0,23787572.0
41.98275862068965,0.027897106383468793,0.0005280330357529586,3789458.0,11017379.0,32916878.0
48.70689655172414,0.016318659373918406,0.00045739478676600333,4937162.0,14508835.0,43324822.0
55.43103448275862,0.010598778487766952,0.00040548427998656546,6211686.0,18365727.0,54869816.0
62.15517241379311,0.009095732653067038,0.0003656448291577266,7616332.0,22560618.0,67428900.0
68.87931034482759,0.006716756922041038,0.0003336647307945957,9103198.0,27044964.0,80882914.0
75.60344827586206,0.002518398306350382,0.0003071283484321275,10654790.0,31806701.0,95185216.0
82.32758620689656,-0.0008514943681862654,0.00028488393165325307,12300540.0,36836919.0,110220958.0
89.05172413793105,-0.00219569084023325,0.0002664833616676334,14020082.0,42052705.0,125857046.0
95.77586206896552,-0.001516444410964197,0.0002510094546515976,15823468.0,47441245.0,142018522.0
102.5,-0.0009055086203297569,0.00023764139136918486,17675388.0,52962429.0,158549864.0
109.22413793103449,0.0005689487164283521,0.0002262829472170462,19551964.0,58553523.0,175450354.0
115.94827586206897,-0.00018712254637083325,0.00021600735927792953,21423990.0,64245416.0,192617330.0
122.67241379310346,-0.0003772589892247696,0.00020706314065102092,23305942.0,69972843.0,210000858.0
129.39655172413794,-0.0010513334868510905,0.00019897313594213946,25205624.0,75768291.0,227516150.0
136.1206896551724,-0.001210012635542073,0.00019170717905847543,27143860.0,81615581.0,245098098.0
142.84482758620692,-0.0019564158978041257,0.00018521633595614307,29036244.0,87407237.0,262599110.0
149.5689655172414,-0.000257118581980615,0.0001795984933126594,30986410.0,93170420.0,280068166.0
156.29310344827587,-0.0003297752234864503,0.00017433012989968987,32882786.0,98915957.0,297447638.0
163.01724137931035,-0.0010160319202361368,0.00016948817317475497,34740674.0,104614811.0,314697836.0
169.74137931034483,-0.0015158793323447619,0.00016504162401483286,36601202.0,110269961.0,331700628.0
176.4655172413793,-0.001034202025329326,0.00016114409191319114,38430184.0,115818813.0,348674844.0
183.1896551724138,-0.0016963478815787973,0.0001574373042350491,40207774.0,121300265.0,365305890.0
189.91379310344828,-0.0026511319373566985,0.00015401838323684473,41932338.0,126685439.0,381703334.0
196.63793103448276,-0.002042713448569445,0.00015101839666885634,43668090.0,131918018.0,397676386.0
